YearStart,LocationAbbr,ObesityRate,PhysicalActivityRate
2011,AK,33.032,34.8136
2011,AL,33.076,27.9408
2011,AR,32.038000000000004,29.418032786885245
2011,AZ,31.286538461538463,33.62538461538462
2011,CA,29.924074074074074,34.22222222222222
2011,CO,28.201851851851853,36.23555555555556
2011,CT,30.115384615384617,31.915384615384614
2011,DC,26.23076923076923,34.21484375
2011,DE,31.258000000000003,31.536
2011,FL,31.25576923076923,32.69230769230769
2011,GA,30.235185185185188,32.037777777777784
2011,HI,28.228846153846156,34.48384615384615
2011,IA,31.445999999999998,28.9488
2011,ID,31.520833333333332,33.751666666666665
2011,IL,31.704,32.096
2011,IN,33.29,29.311023622047244
2011,KS,32.181481481481484,28.38222222222222
2011,KY,33.45384615384615,30.54
2011,LA,33.917307692307695,28.035384615384615
2011,MA,30.044444444444448,33.41925925925926
2011,MD,31.653846153846153,30.24153846153846
2011,ME,32.082,32.668
2011,MI,32.392307692307696,32.11538461538461
2011,MN,30.89814814814815,31.946969696969695
2011,MO,32.388000000000005,29.99516129032258
2011,MS,34.22608695652174,27.492173913043477
2011,MT,30.204,33.6712
2011,NC,32.17962962962963,29.683703703703706
2011,ND,32.20434782608696,29.228695652173915
2011,NE,32.02407407407407,29.865185185185187
2011,NH,30.730434782608693,32.67731092436975
2011,NJ,30.44814814814815,33.25153846153846
2011,NM,30.54259259259259,33.974074074074075
2011,NV,30.174074074074074,31.675000000000004
2011,NY,30.104,32.1632
2011,OH,32.912962962962965,32.81384615384616
2011,OK,32.32692307692308,28.56153846153846
2011,OR,30.318,34.848
2011,PA,32.1,30.032
2011,RI,30.648000000000003,29.9376
2011,SC,32.25,30.879104477611943
2011,SD,32.12083333333333,28.239166666666666
2011,TN,33.06458333333333,26.465
2011,TX,32.48076923076923,30.021538461538462
2011,US,31.330357142857142,31.880714285714287
2011,UT,30.10925925925926,32.45925925925926
2011,VA,31.56,33.0216
2011,VT,30.118750000000002,33.90833333333333
2011,WA,30.69074074074074,31.695555555555554
2011,WI,32.358000000000004,33.4656
